,Unnamed: 0,사업장명,도로명전체주소,위도(WGS84),경도(WGS84),카카오_카테고리,카카오_링크,평점,영업시간,구글지도링크,비고_y,통합_전화번호,카테고리1,카테고리2,카테고리3,카테고리4,mon,tue,wed,thu,fri,sat,sun,hours_compact
0,0,대박집,"충청남도 천안시 서북구 직산읍 성진로 425, 1층",36.91106542406567,127.17830733795356,음식점 > 한식,http://place.map.kakao.com/104210514,,,,,041-587-8259,한식,,,,,,,,,,,
1,1,마피아탕수육두정점,"충청남도 천안시 서북구 부성7길 3, 레몬타워 1층 117일부호 (두정동)",36.837255222801545,127.13407127198045,음식점 > 중식 > 중국요리,http://place.map.kakao.com/1118870361,,,,,,중식,중국요리,,,,,,,,,,
2,2,옥수숯불로구운치킨,"충청남도 천안시 서북구 부성7길 3, 레몬타워 1층 117호 (두정동)",36.837255222801545,127.13407127198045,음식점 > 치킨,http://place.map.kakao.com/1399836570,,,,,,치킨,,,,,,,,,,,
3,3,사랑방,"충청남도 천안시 동남구 병천면 탑원3길 5, 1층",36.7646418731183,127.31159418298547,,,,,,,,,,,,,,,,,,,
4,4,달빛에구운고등어천안구성점,"충청남도 천안시 동남구 천안대로 500, 가동 1층 (구성동)",36.79233806045805,127.16542308958044,"음식점 > 한식 > 해물,생선 > 달빛에구운고등어",http://place.map.kakao.com/708887293,4.5,"Monday: 11:00 AM – 9:00 PM, Tuesday: 11:00 AM – 9:00 PM, Wednesday: 11:00 AM – 9:00 PM, Thursday: 11:00 AM – 9:00 PM, Friday: 11:00 AM – 9:00 PM, Saturday: 11:00 AM – 9:00 PM, Sunday: 11:00 AM – 9:00 PM",https://maps.google.com/?cid=1552612259003750254,,041-555-3392,한식,"해물,생선",달빛에구운고등어,,(월) 11:00~21:00,(화) 11:00~21:00,(수) 11:00~21:00,(목) 11:00~21:00,(금) 11:00~21:00,(토) 11:00~21:00,(일) 11:00~21:00,"(월) 11:00~21:00, (화) 11:00~21:00, (수) 11:00~21:00, (목) 11:00~21:00, (금) 11:00~21:00, (토) 11:00~21:00, (일) 11:00~21:00"
5,5,포지타노샐러드불당점,"충청남도 천안시 서북구 불당34길 25-3, 번영타워 1층 106호 (불당동)",36.80712237441035,127.10608447299616,음식점 > 샐러드,http://place.map.kakao.com/2060395598,,,,,070-8670-6378,샐러드,,,,,,,,,,,
6,6,범탄,"충청남도 천안시 서북구 한들3로 36-17, A동 1층 106호 (백석동, 천안백석3차 IPARK)",36.82771958835567,127.12580042628734,"음식점 > 한식 > 육류,고기",http://place.map.kakao.com/1353606980,,,,,,한식,"육류,고기",,,,,,,,,,
7,7,서부식당,"충청남도 천안시 서북구 봉정로 92, 관훈빌딩 1층 (성정동)",36.81018550075101,127.1410833197165,음식점 > 한식,http://place.map.kakao.com/1987899226,,,,,,한식,,,,,,,,,,,
8,8,지구떡볶이,"충청남도 천안시 동남구 고재1길 28, 1층 (원성동)",36.80105547267921,127.15982546413883,,,,,,,,,,,,,,,,,,,
9,9,(주)구룡정육도아구드림통정1점,"충청남도 천안시 동남구 통정1로 43, 1층 (신방동)",36.777861296000765,127.12949423885551,,,,,,,,,,,,,,,,,,,
